age;gender; loan_balance_0m 
71;;0.00
49;;0.00
56;;0.00
47;;0.00
74;;0.00
72;Ì;0.00
46;;0.00
62;;0.00
39;;0.00
36;Ì;32413.52
56;F;61190.00
19;Ì;0.00
20;F;0.00
51;Ì;0.00
50;F;521337.00
32;Ì;0.00
28;Ì;179900.88
21;F;0.00
59;Ì;0.00
50;Ì;0.00
30;F;25399.00
68;Ì;0.00
37;F;0.00
56;F;6188.00
30;F;0.00
62;Ì;0.00
52;Ì;169373.75
30;Ì;968592.47
46;F;0.00
53;F;0.00
61;F;0.00
38;Ì;0.00
56;F;0.00
57;F;0.00
46;Ì;0.00
20;F;0.00
49;F;6000.00
29;Ì;128771.61
41;Ì;44398.14
20;F;0.00
60;Ì;0.00
32;Ì;0.00
42;Ì;0.00
27;F;0.00
27;Ì;0.00
28;Ì;0.00
50;F;0.00
31;F;84083.00
36;Ì;1485883.38
41;Ì;530103.88
20;Ì;0.00
31;Ì;0.00
35;Ì;0.00
